Source,Scraped,Headline,Link
SMH,2020/01/06,"FA Cup: Moura rescues Tottenham at Middlesbrough, Chelsea beat Forest",https://www.smh.com.au/sport/soccer/fa-cup-moura-rescues-tottenham-at-middlesbrough-chelsea-beat-forest-20200106-p53p35.html?ref=rss&utm_medium=rss&utm_source=rss_sport
SMH,2020/01/06,Kerr's Chelsea career off to a flyer with a 3-1 win over Reading,https://www.smh.com.au/sport/soccer/kerr-s-chelsea-career-off-to-a-flyer-with-a-3-1-win-over-reading-20200106-p53p31.html?ref=rss&utm_medium=rss&utm_source=rss_sport
SMH,2020/01/06,Germany beat Greece to seal Australia's place in the ATP Cup quarters,https://www.smh.com.au/sport/tennis/germany-beat-greece-to-seal-australia-s-place-in-the-atp-cup-quarters-20200106-p53p30.html?ref=rss&utm_medium=rss&utm_source=rss_sport
SMH,2020/01/06,Philippe and Hazlewood lead Sixers to big win over the Strikers,https://www.smh.com.au/sport/cricket/philippe-and-hazlewood-lead-sixers-to-big-win-over-the-strikers-20200105-p53p2w.html?ref=rss&utm_medium=rss&utm_source=rss_sport
SMH,2020/01/06,"From the Archives, 1930: Don Bradman's colossal score",https://www.smh.com.au/sport/cricket/from-the-archives-1930-don-bradman-s-colossal-score-20191226-p53n0i.html?ref=rss&utm_medium=rss&utm_source=rss_sport
The Guardian,2020/01/05,Nathan Lyon spins Australia closer to victory on day three at the SCG,https://www.theguardian.com/sport/2020/jan/05/nathan-lyon-spins-australia-closer-to-victory-on-day-three-at-the-scg
The Guardian,2020/01/05,Sportwatch: Sixers stun Strikers  and Victory do the double – as it happened,https://www.theguardian.com/sport/live/2020/jan/05/sportwatch-big-bash-league-a-league-and-atp-cup-live
The Guardian,2020/01/05,England build lead of 264 over South Africa after day three – as it happened,https://www.theguardian.com/sport/live/2020/jan/05/cricket-south-africa-england-second-test-day-three-over-by-over-live
The Guardian,2020/01/05,Novak Djokovic would consider Australian Open delay to avoid bushfire smoke,https://www.theguardian.com/sport/2020/jan/05/novak-djokovic-would-consider-australian-open-delay-to-avoid-bushfire-smoke
The Guardian,2020/01/05,Tom Brady says retirement 'pretty unlikely' despite Pats' shock loss to Titans,https://www.theguardian.com/sport/2020/jan/04/tennessee-titans-new-england-patriots-playoff-score
ABC,2020/01/05,Black Caps' SCG resistance can't mask one-sided summer,https://www.abc.net.au/news/2020-01-05/black-caps-scg-resistance-cant-mask-one-sided-summer/11842374
ABC,2020/01/05,Stars' Marcus Stoinis fined for homophobic slur against Renegades' Kane Richardson,https://www.abc.net.au/news/2020-01-05/stars-marcus-stoinis-fined-personal-abuse-renegades-richardson/11842034
ABC,2020/01/05,Teen athletics sensation Sasha Zhoya turns his back on Australia,https://www.abc.net.au/news/2020-01-05/sasha-zhoya-turns-back-on-australia-athletics-for-france/11743360
ABC,2020/01/05,Dominant Australia leads by 242 runs after Lyon's five-wicket haul,https://www.abc.net.au/news/2020-01-05/australia-v-new-zealand-third-test-day-three-live-blog/11841388
BBC Sport,2020/01/06,Watch: FA Cup fourth-round draw & Arsenal v Leeds,http://www.bbc.co.uk/sport/live/football/50897404
BBC Sport,2020/01/06,Antonio Rudiger: Tottenham find no evidence of racism against Chelsea defender,http://www.bbc.co.uk/sport/football/51012632
BBC Sport,2020/01/06,Juventus 4-0 Cagliari: Cristiano Ronaldo scores first Serie A hat-trick,http://www.bbc.co.uk/sport/football/51000226
BBC Sport,2020/01/06,England in South Africa: Hosts frustrate tourists after Dom Sibley century,http://www.bbc.co.uk/sport/cricket/51006354
BBC Sport,2020/01/06,AC Milan 0-0 Sampdoria: Zlatan Ibrahimovic comes on as substitute for Milan,http://www.bbc.co.uk/sport/football/51000233
