Source,Scraped,Headline,Link
Daily Mirror,2020-01-07,No music is the best music for bus commuters,http://www.dailymirror.lk/opinion/No-music-is-the-best-music-for-bus-commuters/172-180834
Daily Mirror,2020-01-07,Coming Constitutional manipulation!,http://www.dailymirror.lk/opinion/Coming-Constitutional-manipulation/172-180836
Daily Mirror,2020-01-07,"Lester and the year  that was, 50   years ago",http://www.dailymirror.lk/opinion/Lester-and-the-year-that-was-50-years-ago/172-180842
Daily Mirror,2020-01-07,Nepal’s communist regime backs MCC compact despite internal dissent,http://www.dailymirror.lk/opinion/Nepals-communist-regime-backs-MCC-compact-despite-internal-dissent/172-180841
Daily Mirror,2020-01-07,India doesn’t  want to remain  as a factor of SL’s internal political dynamics  - Prof. Karori Singh-,http://www.dailymirror.lk/hard-talk/India-doesnt-want-to-remain-as-a-factor-of-SLs-internal-political-dynamics-Prof-Karori-Singh/334-180837
Colombo Telegraph,2020-01-07,Gota’s Vision & Muslim Leadership,https://www.colombotelegraph.com/index.php/gotas-vision-muslim-leadership/
Colombo Telegraph,2020-01-07,Don’s Diary IVb: Peradeniya,https://www.colombotelegraph.com/index.php/dons-diary-ivb-peradeniya/
The Island,2020-01-07,Arrests and politics,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216638
The Island,2020-01-07,Lessons from Australian Bushfire,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216640
The Island,2020-01-07,Travel woes in office train from Galle,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216639
Daily FT,2020-01-08,"End of a decade: where liberalism, capitalism and cultural values are no more in the same basket",http://www.ft.lk/opinion/End-of-a-decade-where-liberalism-capitalism-and-cultural-values-are-no-more-in-the-same-basket/14-693231
Daily Mirror,2020-01-08,When segregation slips out from in between the lines Singing the national anthem only in Sinhala,http://www.dailymirror.lk/opinion/When-segregation-slips-out-from-in-between-the-lines-Singing-the-national-anthem-only-in-Sinhala/172-180889
Daily Mirror,2020-01-08,LOOKING BACK,http://www.dailymirror.lk/opinion/LOOKING-BACK/172-180888
Daily Mirror,2020-01-08,“I fought a good fight” -Rosy Senanayake,http://www.dailymirror.lk/hard-talk/I-fought-a-good-fight-Rosy-Senanayake/334-180886
Daily Mirror,2020-01-08,Protecting 19A:  Dire need of the Hour,http://www.dailymirror.lk/opinion/Protecting-19A-Dire-need-of-the-Hour/172-180885
Daily Mirror,2020-01-08,Reforming public sector,http://www.dailymirror.lk/opinion/Reforming-public-sector/172-180884
Daily Mirror,2020-01-08,Singing National Anthem in Sinhala only Tug of war continues over ‘Matha’ and ‘Thaaye’,http://www.dailymirror.lk/news-features/Singing-National-Anthem-in-Sinhala-only-Tug-of-war-continues-over-Matha-and-Thaaye/131-180839
Colombo Telegraph,2020-01-08,Development Requires Consistent Application Of Laws,https://www.colombotelegraph.com/index.php/development-requires-consistent-application-of-laws/
Colombo Telegraph,2020-01-08,On Gota’s Policy Statement,https://www.colombotelegraph.com/index.php/on-gotas-policy-statement/
Colombo Telegraph,2020-01-08,Gotabaya Rajapaksa’s Ego In His Pursuit Of Peace & Happiness,https://www.colombotelegraph.com/index.php/gotabaya-rajapaksas-ego-in-his-pursuit-of-peace-happiness/
Daily FT,2020-01-09,Language of the national anthem,http://www.ft.lk/columns/Language-of-the-national-anthem/4-693302
Daily FT,2020-01-09,"Let’s go trilingual, nay, quadrilingual with the national anthem!",http://www.ft.lk/opinion/Let-s-go-trilingual-nay-quadrilingual-with-the-national-anthem/14-693301
Daily FT,2020-01-09,Sri Lanka needs more education entrepreneurs,http://www.ft.lk/columns/Sri-Lanka-needs-more-education-entrepreneurs/4-693300
Daily FT,2020-01-09,EPF needs a review and revision,http://www.ft.lk/columns/EPF-needs-a-review-and-revision/4-693299
Daily FT,2020-01-09,Reformatting Government operating system,http://www.ft.lk/columns/Reformatting-Government-operating-system/4-693220
Daily FT,2020-01-09,Gota’s vision and Muslim leadership,http://www.ft.lk/columns/Gota-s-vision-and-Muslim-leadership/4-693230
Daily Mirror,2020-01-09,“What Ranjan did was unlawful and disgraceful” - Maithri,http://www.dailymirror.lk/hard-talk/What-Ranjan-did-was-unlawful-and-disgraceful-Maithri/334-180936
Daily Mirror,2020-01-09,becoming shareholders of a new Sri Lanka,http://www.dailymirror.lk/opinion/becoming-shareholders-of-a-new-Sri-Lanka/172-180943
Daily Mirror,2020-01-09,A ‘working nation’ needs a judiciary that works,http://www.dailymirror.lk/opinion/A-working-nation-needs-a-judiciary-that-works/172-180945
Colombo Telegraph,2020-01-09,The Game Of Deception,https://www.colombotelegraph.com/index.php/the-game-of-deception/
Colombo Telegraph,2020-01-09,"Buddhism, Sex & Education",https://www.colombotelegraph.com/index.php/buddhism-sex-education/
Colombo Telegraph,2020-01-09,Sampanthan: Second Class Or Superclass Citizen?,https://www.colombotelegraph.com/index.php/sampanthan-second-class-or-superclass-citizen/
The Island,2020-01-09,Roland Silva - A tribute,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216744
The Island,2020-01-09,Let’s be quadrilingual with National Anthem!,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216746
The Island,2020-01-09,Literacy defined,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216745
The Island,2020-01-09,Debate in the SLPP camp,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216747
Daily Mirror,2020-01-10,Reining in  ethnicity  based politics,http://www.dailymirror.lk/opinion/Reining-in-ethnicity-based-politics/172-181031
