Source,Scraped,Headline,Link
The Island,2020-01-07,FAO marks 40 years of representation in Sri Lanka,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216619
The Island,2020-01-07,"Seylan Bank, first to enter market with SD-WAN networking system",http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216621
The Island,2020-01-07,World Bank says problem in South Asia is 'There's no fiscal  rule',http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216623
The Island,2020-01-07,CMSC celebrates 85 years,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216625
The Island,2020-01-07,"Emirates to serve 500,000 Christmas meals at 40,000 feet",http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216627
Daily FT,2020-01-07,"By implementing even the 1960s plan, SL can cross 6% + GDP growth: Rohantha",http://www.ft.lk/business/By-implementing-even-the-1960s-plan-SL-can-cross-6-GDP-growth-Rohantha/34-693160
Daily FT,2020-01-07,Former Tata chairman says he will not seek chairmanship of Tata Sons,http://www.ft.lk/business/Former-Tata-chairman-says-he-will-not-seek-chairmanship-of-Tata-Sons/34-693130
Daily FT,2020-01-07,China’s services sector expands at slower pace in Dec as confidence dips: Caixin PMI,http://www.ft.lk/business/China-s-services-sector-expands-at-slower-pace-in-Dec-as-confidence-dips-Caixin-PMI/34-693131
Daily FT,2020-01-07,"Oil tops $ 70 as Iran, Trump trade threats",http://www.ft.lk/business/Oil-tops-70-as-Iran-Trump-trade-threats/34-693132
Republic Next,2020-01-08,Medical exams for drivers; government will decentralise the operation,https://www.republicnext.com/economy/consumer-affairs/medical-exams-for-drivers-government-will-decentralise-the-operation/
The Island,2020-01-08,A new energy: Sampath Bank ushers in a new year full of promise,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216670
The Island,2020-01-08,Tobacco smoking in Sri Lanka: Going the Last Mile,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216674
The Island,2020-01-08,"Navy Commander makes courtesy call on chairman, SLPA",http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216678
