Source,Scraped,Headline,Link
Ten,2020/01/03,Nick Kyrgios Bushfire Fundraising Idea Praised As 'Brilliant',https://10daily.com.au/news/australia/a200102jzexi/nick-kyrgios-bushfire-fundraising-idea-praised-as-brilliant-20200102
Ten,2020/01/03,'Significant Fears' For 17 People Missing After Deadly East Gippsland Bushfire,https://10daily.com.au/news/australia/a200102vlkwf/significant-fears-for-17-people-missing-after-deadly-east-gippsland-bushfire-20200102
Ten,2020/01/03,The Most Powerful Images Taken During Australia's Bushfire Crisis,https://10daily.com.au/news/australia/a200102mihbw/the-most-powerful-images-from-australias-bushfire-crisis-20200102
Ten,2020/01/03,How My Family Escaped The Fire Engulfing Our Holiday Home,https://10daily.com.au/news/australia/a200101lvbac/how-my-family-escaped-the-fire-engulfing-our-holiday-home-20200102
Ten,2020/01/03,Residents Unleash Fury At PM During Visit To Bushfire-Ravaged Town,https://10daily.com.au/news/australia/la200101mizwt/food-petrol-shortages-as-residents-brace-for-more-bushfire-danger-20200101
Ten,2020/01/03,NSW Braces For Difficult Bushfire Conditions On Saturday,https://10daily.com.au/news/australia/a200101zxqjk/nsw-braces-for-difficult-bushfire-conditions-on-saturday-20200101
ABC,2020/01/03,Premier declares seven-day state of disaster for massive part of Victoria's east,https://www.abc.net.au/news/2020-01-02/bushfires-victoria-state-of-disaster-declared/11838290
ABC,2020/01/03,NSW Police refers Angus Taylor investigation to AFP,https://www.abc.net.au/news/2020-01-02/angus-taylor-investigation-referred-to-afp/11837218
The Guardian,2020/01/02,"What Ray Hadley's emails reveal about the NSW Nationals, dolphins and the circus",https://www.theguardian.com/australia-news/2020/jan/03/what-ray-hadleys-emails-reveal-about-the-nsw-nationals-dolphins-and-the-circus
The Guardian,2020/01/02,Australian bushfire crisis predicted to cost tourism industry hundreds of millions,https://www.theguardian.com/australia-news/2020/jan/03/australian-bushfire-crisis-predicted-to-cost-tourism-industry-hundreds-of-millions
The Guardian,2020/01/02,NSW state of emergency declared as 17 missing in Victoria bushfires â€“ as it happened,https://www.theguardian.com/australia-news/live/2020/jan/02/nsw-fires-live-news-victoria-bushfires-australia-near-south-coast-tourists-latest-updates-
The Guardian,2020/01/02,"Mothers, daughters, fathers, sons: the victims of the Australian bushfires",https://www.theguardian.com/australia-news/2020/jan/02/mothers-daughters-fathers-sons-the-victims-of-the-australian-bushfires
The Guardian,2020/01/02,NSW state of emergency: what does it mean for the bushfires crisis?,https://www.theguardian.com/australia-news/2020/jan/02/nsw-state-of-emergency-what-does-it-mean-for-the-bushfires-crisis
The Guardian,2020/01/02,Australian bushfire crisis: global figures and media react to 'climate emergency',https://www.theguardian.com/australia-news/2020/jan/02/australian-bushfire-crisis-global-figures-and-media-react-to-climate-emergency
The Guardian,2020/01/02,WA fires: toilet paper flown in to remote roadhouse as main road closed,https://www.theguardian.com/australia-news/2020/jan/02/wa-fires-toilet-paper-flown-in-to-remote-roadhouse-as-main-road-closed
The Guardian,2020/01/02,PM Scott Morrison defends climate policies and asks Australians to be 'patient' over fires,https://www.theguardian.com/australia-news/2020/jan/02/pm-scott-morrison-defends-climate-policies-and-asks-australians-to-be-patient-over-fires
SBS,2020/01/02,RFS deems 1300-strong NSW town &quot;not defendable&quot; ahead of Friday fires,https://www.sbs.com.au/news/rfs-deems-1300-strong-nsw-town-not-defendable-ahead-of-friday-fires
SBS,2020/01/02,"Thousands flock to NSW highway, sleeping on road to escape bushfires",https://www.sbs.com.au/news/thousands-flock-to-nsw-highway-sleeping-on-road-to-escape-bushfires
SBS,2020/01/02,State of disaster declared for the first time across eastern Victoria as second person confirmed dead,https://www.sbs.com.au/news/state-of-disaster-declared-for-the-first-time-across-eastern-victoria-as-second-person-confirmed-dead
SBS,2020/01/02,Scott Morrison heckled by angry bushfire survivors in southeast NSW,https://www.sbs.com.au/news/scott-morrison-heckled-by-angry-bushfire-survivors-in-southeast-nsw
SBS,2020/01/02,'I'm just worried about keeping my cows and myself alive': Farmer says community abandoned by emergency services,https://www.sbs.com.au/news/i-m-just-worried-about-keeping-my-cows-and-myself-alive-farmer-says-community-abandoned-by-emergency-services
SBS,2020/01/02,NSW fires: State of emergency declared as PM urges calm amid mass exodus,https://www.sbs.com.au/news/nsw-fires-state-of-emergency-declared-as-pm-urges-calm-amid-mass-exodus
SBS,2020/01/02,'I thought of you': Wagga Wagga Councillor sends emotional message to Deputy PM,https://www.sbs.com.au/news/i-thought-of-you-wagga-wagga-councillor-sends-emotional-message-to-deputy-pm
SBS,2020/01/02,'We have a small window of opportunity': Victorians urged to flee fire zones,https://www.sbs.com.au/news/we-have-a-small-window-of-opportunity-victorians-urged-to-flee-fire-zones
SBS,2020/01/02,"Bushfire smoke disrupts Canberra hospital services, forces attractions to close",https://www.sbs.com.au/news/bushfire-smoke-disrupts-canberra-hospital-services-forces-attractions-to-close
SMH,2020/01/04,Narendra Modi confirms Scott Morrison's India trip is cancelled,https://www.smh.com.au/politics/federal/narendra-modi-confirms-scott-morrisons-india-trip-is-cancelled-20200104-p53oqa.html?ref=rss&utm_medium=rss&utm_source=rss_politics_federal
SMH,2020/01/04,'Africa on our doorstep': The health crisis a short plane ride from Australia,https://www.smh.com.au/politics/federal/africa-on-our-doorstep-the-health-crisis-a-short-plane-ride-from-australia-20190905-p52o8a.html?ref=rss&utm_medium=rss&utm_source=rss_politics_federal
SMH,2020/01/03,"Fivefold increase in funding for hazard reduction burns needed, experts warn",https://www.smh.com.au/politics/federal/fivefold-increase-in-funding-for-hazard-reduction-burns-needed-experts-warn-20200103-p53om0.html?ref=rss&utm_medium=rss&utm_source=rss_politics_federal
SMH,2020/01/03,Government rejected major air-tanker expansion,https://www.smh.com.au/politics/federal/government-rejected-major-air-tanker-expansion-20200103-p53onl.html?ref=rss&utm_medium=rss&utm_source=rss_politics_federal
SMH,2020/01/03,Cancellation of trip must not hurt ties to India,https://www.smh.com.au/politics/federal/cancellation-of-trip-must-not-hurt-ties-to-india-20200103-p53onp.html?ref=rss&utm_medium=rss&utm_source=rss_politics_federal
SMH,2020/01/03,PM 'inclined' to cancel India trip amid bushfire crisis,https://www.smh.com.au/politics/federal/pm-inclined-to-cancel-indian-trip-amid-bushfire-crisis-20200103-p53olk.html?ref=rss&utm_medium=rss&utm_source=rss_politics_federal
New Daily,2020/01/03,Fears of fresh blazes as firefighters brace for horror Saturday,https://thenewdaily.com.au/news/national/2020/01/04/australia-bushfires-saturday/
New Daily,2020/01/03,Sports stars pledge money for fire victims,https://thenewdaily.com.au/news/national/2020/01/03/nick-kyrgios-tennis-bushfire-appeal-sport/
New Daily,2020/01/03,"‘Unprecedented times’: Grave fears held for missing Australians as NSW, Vic continue to burn",https://thenewdaily.com.au/news/national/2020/01/03/fires-nsw-vic-death-toll-missing/
New Daily,2020/01/03,Emergency warning for fire on Kangaroo Island,https://thenewdaily.com.au/news/national/2020/01/03/kangaroo-island-bushfires-sa/
New Daily,2020/01/03,"‘Get out!’: Lives before homes, fire authorities say, as deadly weather returns",https://thenewdaily.com.au/news/national/2020/01/03/fire-emergency-saturday-2020/
New Daily,2020/01/02,Up to 30 people missing in Victorian bushfires,https://thenewdaily.com.au/news/national/2020/01/03/victorian-bushfires-28-missing/
New Daily,2020/01/02,Kyrgios urges players to fundraise as he pledges $200 for every ace he hits,https://thenewdaily.com.au/news/national/2020/01/03/kyrgios-donations-tennis-bushfires/
New Daily,2020/01/02,Mass evacuations underway as nine disaster zones declared in Victoria,https://thenewdaily.com.au/news/national/2020/01/03/mallacoota-bushfire-evacuation/
ABC,2020/01/03,NSW Emergency Services Minister David Elliott labels his absence during bushfires 'inexcusable',http://www.abc.net.au/news/2020-01-04/david-elliott-admits-his-absence-from-nsw-was-inexcusable/11840360
ABC,2020/01/03,"At the SCG, this was the day that didn't matter",http://www.abc.net.au/news/2020-01-03/day-one-of-the-new-years-test-at-the-scg-did-not-matter/11840334
ABC,2020/01/03,Here's why the US killing Iranian General Qassem Soleimani is such a big deal,http://www.abc.net.au/news/2020-01-03/who-was-qassem-soleimani-iran-commander-killed-by-us-strikes/11839618
ABC,2020/01/03,'It's smashed everyone': Gippsland locals survey the damage as others flee amid evacuation alerts,http://www.abc.net.au/news/2020-01-03/bushfires-smashed-wairewa-hamlet-fires-east-gippsland/11839510
ABC,2020/01/03,'Vigorous revenge' vowed against US after it kills head of elite Quds Force in air strike,http://www.abc.net.au/news/2020-01-03/baghdad-airport-strike-kills-quds-force-qassem-soleiman/11839312
ABC,2020/01/03,"'I don't take it personally': PM says he won't be distracted after being abused, snubbed by bushfire survivors in Cobargo",http://www.abc.net.au/news/2020-01-03/scott-morrison-responds-to-angry-criticism-bushfire-victims/11839674
ABC,2020/01/03,Scientific modelling 'not coping' with scale of current bushfires,http://www.abc.net.au/news/2020-01-03/scientific-modelling-not-coping-with-current-bushfires/11839356
ABC,2020/01/03,'We lost everything': Couple forced to live out of car with two kids and 13 dogs,http://www.abc.net.au/news/2020-01-03/couple-living-in-bushfire-evacuation-centre-with-13-dogs/11839388
ABC,2020/01/03,"About 1,000 people — and their pets — evacuated from Mallacoota on Navy ships",http://www.abc.net.au/news/2020-01-03/navy-starts-bushfires-evacuations--in-mallacoota/11838424
ABC,2020/01/03,Blue gums 'going up like Roman candles' as SA fire front heats up,http://www.abc.net.au/news/2020-01-03/cfs-battles-kangaroo-island-fire-amid-extreme-heat/11838600
Sky News,2020/01/04,Morrison 'not inclined' to travel to India as bushfire crisis continues,https://www.skynews.com.au/details/_6119385453001
Sky News,2020/01/04,NSW Emergency Services Minister yet to return from family holiday,https://www.skynews.com.au/details/_6119376144001
Sky News,2020/01/04,Australian PM 'got what he deserved',https://www.skynews.com.au/details/_6119364211001
Sky News,2020/01/04,Morrison 'must learn' from the backlash over his handling of the bushfire crisis,https://www.skynews.com.au/details/_6119380128001
Sky News,2020/01/04,'Scott Morrison is the last person on my mind' during bushfire crisis: Labor MP,https://www.skynews.com.au/details/_6119367880001
Ten,2020/01/04,First Tropical Cyclone Of The Season Could Smash WA Next Week,https://10daily.com.au/news/australia/a200103zsqoa/first-tropical-cyclone-of-the-season-could-smash-wa-next-week-20200103
Ten,2020/01/04,Boy Gives His $50 Christmas Money To Family Who Lost Everything In Bushfires,https://10daily.com.au/news/australia/a200103pvzag/boy-gives-his-50-christmas-money-to-family-who-lost-everything-in-bushfires-20200103
