Source,Scraped,Headline,Link
Daily Mirror,2020-11-18,Budget totally aimed at borrowing: Vijitha,http://www.dailymirror.lk/print/front_page/Budget-totally-aimed-at-borrowing-Vijitha/238-200058
Daily Mirror,2020-11-18,HIGHLIGHTS OF THE BUDGET,http://www.dailymirror.lk/print/front_page/HIGHLIGHTS-OF-THE-BUDGET/238-200065
Daily Mirror,2020-11-18,Most Ven. Napana Pemasiri Thera passes away,http://www.dailymirror.lk/print/front_page/Most-Ven-Napana-Pemasiri-Thera-passes-away/238-200060
Daily Mirror,2020-11-18,weak and uninspiring budget: Harsha,http://www.dailymirror.lk/print/front_page/weak-and-uninspiring-budget-Harsha/238-200059
Daily Mirror,2020-11-18,14-day quarantine mandatory even if PCR is negative,http://www.dailymirror.lk/print/front_page/14-day-quarantine-mandatory-even-if-PCR-is-negative/238-200064
The Island,2020-11-18,"Five-year income tax exemptions for agriculture, livestock, and fisheries sectors",http://island.lk/five-year-income-tax-exemptions-for-agriculture-livestock-and-fisheries-sectors/
The Island,2020-11-18,Budget Speech 2021,http://island.lk/budget-speech-2021/
The Island,2020-11-18,Mahanayake of Ramagnna Sect passes away,http://island.lk/mahanayake-of-ramagnna-sect-passes-away/
The Island,2020-11-18,Easter carnage:,http://island.lk/easter-carnage/
The Island,2020-11-18,Bathiudeen’s associates used Sathosa vehicles to travel to East,http://island.lk/bathiudeens-associates-used-sathosa-vehicles-to-travel-to-east/
The Island,2020-11-18,Heated exchange between EP Governor and TNA MPs,http://island.lk/heated-exchange-between-ep-governor-and-tna-mps/
The Island,2020-11-18,Champika: Pandemic has become beggar’s sore for inefficient govt.,http://island.lk/champika-pandemic-has-become-beggars-sore-for-inefficient-govt/
The Island,2020-11-18,JVP Colombo municipal members urge govt. to provide slum dwellers with face masks,http://island.lk/jvp-colombo-municipal-members-urge-govt-to-provide-slum-dwellers-with-face-masks/
The Island,2020-11-18,Presentation of country’s 75th budget:Three lawmakers absent,http://island.lk/presentation-of-countrys-75th-budgetthree-lawmakers-absent/
The Island,2020-11-18,Kiriella warns govt. of time bomb in Kandy City,http://island.lk/kiriella-warns-govt-of-time-bomb-in-kandy-city/
Economy Next,2020-11-18,Opinion: Government Alone Cannot Win War Against Covid-19,https://economynext.com/opinion-government-alone-cannot-win-war-against-covid-19-76086/
Economy Next,2020-11-18,SriLankan to offer a whopping handshake to retiring employees – Cabinet,https://economynext.com/srilankan-to-offer-a-whopping-handshake-to-retiring-employees-cabinet-76043/
Daily FT,2020-11-18,Guidelines issued on non-medical reusable cloth face masks ,http://www.ft.lk/news/Guidelines-issued-on-non-medical-reusable-cloth-face-masks/56-709060
Daily FT,2020-11-18,COVID-19 death toll rises to 66,http://www.ft.lk/news/COVID-19-death-toll-rises-to-66/56-709059
Daily FT,2020-11-18,"401 new cases increase dual cluster total to 14,568",http://www.ft.lk/news/401-new-cases-increase-dual-cluster-total-to-14-568/56-709058
Daily FT,2020-11-18,Karu welcomes expansion Sinharaja area,http://www.ft.lk/news/Karu-welcomes-expansion-Sinharaja-area/56-709057
Daily FT,2020-11-18,CIMA-ICCSL-Daily FT Budget Forum today,http://www.ft.lk/news/CIMA-ICCSL-Daily-FT-Budget-Forum-today/56-709056
Daily FT,2020-11-18,Port work made an essential service,http://www.ft.lk/news/Port-work-made-an-essential-service/56-709055
Daily FT,2020-11-18,Cabinet nod to restructure ICTA,http://www.ft.lk/news/Cabinet-nod-to-restructure-ICTA/56-709054
